sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
ASC.C31	PHGblue_1	0.372288241205708	1.1182299560209	0.0170340681362725	17	998	1	0.429120680838077	0	ENSMUSG00000005779,ENSMUSG00000010376,ENSMUSG00000012405,ENSMUSG00000015733,ENSMUSG00000020267,ENSMUSG00000020333,ENSMUSG00000021149,ENSMUSG00000022205,ENSMUSG00000022471,ENSMUSG00000022551,ENSMUSG00000022956,ENSMUSG00000032301,ENSMUSG00000038717,ENSMUSG00000051674,ENSMUSG00000062270,ENSMUSG00000062580,ENSMUSG00000069744	Psmb4,Nedd8,Rpl15,Capza2,Hint1,Acsl6,Gtpbp4,Sub1,Xrcc6,Cyc1,Atp5o,Psma4,Atp5l,Dcun1d4,Morf4l1,Timm17a,Psmb3
ASC.C31	TCXblue_1	0.957578886601004	0.793812767404797	0.0388739946380697	58	1492	1	0.0188254381381583	0	ENSMUSG00000004892,ENSMUSG00000004902,ENSMUSG00000010095,ENSMUSG00000015085,ENSMUSG00000018849,ENSMUSG00000019132,ENSMUSG00000019232,ENSMUSG00000019803,ENSMUSG00000020263,ENSMUSG00000020585,ENSMUSG00000020611,ENSMUSG00000020961,ENSMUSG00000021127,ENSMUSG00000021466,ENSMUSG00000021589,ENSMUSG00000022037,ENSMUSG00000022323,ENSMUSG00000022816,ENSMUSG00000024347,ENSMUSG00000024411,ENSMUSG00000024516,ENSMUSG00000024620,ENSMUSG00000024978,ENSMUSG00000026223,ENSMUSG00000026510,ENSMUSG00000027087,ENSMUSG00000027168,ENSMUSG00000027447,ENSMUSG00000027452,ENSMUSG00000027737,ENSMUSG00000028444,ENSMUSG00000028556,ENSMUSG00000029838,ENSMUSG00000030029,ENSMUSG00000030235,ENSMUSG00000030246,ENSMUSG00000030307,ENSMUSG00000031283,ENSMUSG00000031925,ENSMUSG00000032324,ENSMUSG00000032470,ENSMUSG00000038014,ENSMUSG00000039607,ENSMUSG00000039701,ENSMUSG00000041329,ENSMUSG00000041688,ENSMUSG00000042682,ENSMUSG00000045092,ENSMUSG00000045608,ENSMUSG00000048424,ENSMUSG00000050199,ENSMUSG00000050840,ENSMUSG00000050965,ENSMUSG00000052397,ENSMUSG00000054252,ENSMUSG00000058835,ENSMUSG00000060002,ENSMUSG00000067279	Bcan,Slc25a18,Slc3a2,Entpd2,Wwc1,BC005537,Etnppl,Nr2e1,Appl2,Laptm4a,Gna13,Ston2,Zfp36l1,Ptch1,Rhobtb3,Clu,Rida,Fstl1,Psd2,Aqp4,Sec11c,Pdgfrb,Gpam,Itm2c,Trp53bp2,Itgav,Pax6,Cst3,Acss1,Slc7a11,Cntfr,Dock7,Ptn,Lrig1,Slco1c1,Ldhb,Slc6a11,Chrdl1,Maml2,Tspan3,Mras,Fam120a,Rbms3,Usp53,Atp1b2,Amot,Selenok,S1pr1,Dbx2,Ranbp3l,Lgr4,Cdh20,Prkca,Ezr,Fgfr3,Abi1,Chpt1,Ppp1r3c
ASC.C31	DLPFCblue_4	0.991267918618037	0.510984006809206	0.00967117988394584	10	1034	1	0.00380894909517086	0	ENSMUSG00000001521,ENSMUSG00000016559,ENSMUSG00000021127,ENSMUSG00000022816,ENSMUSG00000028128,ENSMUSG00000028525,ENSMUSG00000030029,ENSMUSG00000031647,ENSMUSG00000055538,ENSMUSG00000073418	Tulp3,H3f3b,Zfp36l1,Fstl1,F3,Pde4b,Lrig1,Mfap3l,Zcchc24,C4b
ASC.C31	TCXturquoise_2	0.999999999741472	0.0741185705164962	0.00182815356489945	2	1094	1	1.12277514840033e-10	0	ENSMUSG00000025283,ENSMUSG00000028028	Sat1,Alpk1
ASC.C31	PHGturquoise_1	0.999999999994922	0.193737885779736	0.00772200772200772	10	1295	1	2.20556156513295e-12	0	ENSMUSG00000021127,ENSMUSG00000022816,ENSMUSG00000024998,ENSMUSG00000025283,ENSMUSG00000026385,ENSMUSG00000026600,ENSMUSG00000028028,ENSMUSG00000030029,ENSMUSG00000044533,ENSMUSG00000070372	Zfp36l1,Fstl1,Plce1,Sat1,Dbi,Soat1,Alpk1,Lrig1,Rps2,Capza1
ASC.C31	DLPFCblue_1	0.311143283482242	1.09095995397712	0.0389197776012708	49	1259	1	0.507039569508639	0	ENSMUSG00000004902,ENSMUSG00000006205,ENSMUSG00000008734,ENSMUSG00000010095,ENSMUSG00000015085,ENSMUSG00000015090,ENSMUSG00000018849,ENSMUSG00000019232,ENSMUSG00000019803,ENSMUSG00000020263,ENSMUSG00000020585,ENSMUSG00000020961,ENSMUSG00000021466,ENSMUSG00000021589,ENSMUSG00000022037,ENSMUSG00000022323,ENSMUSG00000024347,ENSMUSG00000024411,ENSMUSG00000024593,ENSMUSG00000024978,ENSMUSG00000024985,ENSMUSG00000026223,ENSMUSG00000026510,ENSMUSG00000027087,ENSMUSG00000027452,ENSMUSG00000027737,ENSMUSG00000028444,ENSMUSG00000028556,ENSMUSG00000029838,ENSMUSG00000030235,ENSMUSG00000030307,ENSMUSG00000031283,ENSMUSG00000031925,ENSMUSG00000032324,ENSMUSG00000032702,ENSMUSG00000033208,ENSMUSG00000033629,ENSMUSG00000041329,ENSMUSG00000041688,ENSMUSG00000045092,ENSMUSG00000045608,ENSMUSG00000048424,ENSMUSG00000050199,ENSMUSG00000050840,ENSMUSG00000050965,ENSMUSG00000054252,ENSMUSG00000055862,ENSMUSG00000058835,ENSMUSG00000060002	Slc25a18,Htra1,Gprc5b,Slc3a2,Entpd2,Ptgds,Wwc1,Etnppl,Nr2e1,Appl2,Laptm4a,Ston2,Ptch1,Rhobtb3,Clu,Rida,Psd2,Aqp4,Megf10,Gpam,Tcf7l2,Itm2c,Trp53bp2,Itgav,Acss1,Slc7a11,Cntfr,Dock7,Ptn,Slco1c1,Slc6a11,Chrdl1,Maml2,Tspan3,Kank1,S100b,Hacd3,Atp1b2,Amot,S1pr1,Dbx2,Ranbp3l,Lgr4,Cdh20,Prkca,Fgfr3,Izumo4,Abi1,Chpt1
ASC.C31	TCXgreen_1	0.999993382832282	0.674270854112122	0.0560213414634146	147	2624	1	2.87380893395269e-06	0	ENSMUSG00000001175,ENSMUSG00000001525,ENSMUSG00000002107,ENSMUSG00000002265,ENSMUSG00000003279,ENSMUSG00000007617,ENSMUSG00000009894,ENSMUSG00000015968,ENSMUSG00000018474,ENSMUSG00000018548,ENSMUSG00000018965,ENSMUSG00000019210,ENSMUSG00000019370,ENSMUSG00000019831,ENSMUSG00000019943,ENSMUSG00000020267,ENSMUSG00000020340,ENSMUSG00000020431,ENSMUSG00000020457,ENSMUSG00000020541,ENSMUSG00000020627,ENSMUSG00000020704,ENSMUSG00000021087,ENSMUSG00000021219,ENSMUSG00000021373,ENSMUSG00000021772,ENSMUSG00000021816,ENSMUSG00000021978,ENSMUSG00000022055,ENSMUSG00000022205,ENSMUSG00000022295,ENSMUSG00000022311,ENSMUSG00000022494,ENSMUSG00000022629,ENSMUSG00000022658,ENSMUSG00000022674,ENSMUSG00000023456,ENSMUSG00000023826,ENSMUSG00000024130,ENSMUSG00000024163,ENSMUSG00000024268,ENSMUSG00000024425,ENSMUSG00000024617,ENSMUSG00000024976,ENSMUSG00000025190,ENSMUSG00000025217,ENSMUSG00000025658,ENSMUSG00000025855,ENSMUSG00000025867,ENSMUSG00000025889,ENSMUSG00000025981,ENSMUSG00000026179,ENSMUSG00000026202,ENSMUSG00000026527,ENSMUSG00000026571,ENSMUSG00000026825,ENSMUSG00000026833,ENSMUSG00000027254,ENSMUSG00000027273,ENSMUSG00000027350,ENSMUSG00000027500,ENSMUSG00000027581,ENSMUSG00000027799,ENSMUSG00000027827,ENSMUSG00000027834,ENSMUSG00000028020,ENSMUSG00000028176,ENSMUSG00000028351,ENSMUSG00000028832,ENSMUSG00000028833,ENSMUSG00000028926,ENSMUSG00000029088,ENSMUSG00000029223,ENSMUSG00000030161,ENSMUSG00000030302,ENSMUSG00000030695,ENSMUSG00000030869,ENSMUSG00000031137,ENSMUSG00000031292,ENSMUSG00000031428,ENSMUSG00000031633,ENSMUSG00000031840,ENSMUSG00000032336,ENSMUSG00000032503,ENSMUSG00000032532,ENSMUSG00000032549,ENSMUSG00000032589,ENSMUSG00000033419,ENSMUSG00000033565,ENSMUSG00000033953,ENSMUSG00000033998,ENSMUSG00000034755,ENSMUSG00000034813,ENSMUSG00000036564,ENSMUSG00000036815,ENSMUSG00000037601,ENSMUSG00000037710,ENSMUSG00000038145,ENSMUSG00000038665,ENSMUSG00000039037,ENSMUSG00000039145,ENSMUSG00000039419,ENSMUSG00000039601,ENSMUSG00000039809,ENSMUSG00000040118,ENSMUSG00000041014,ENSMUSG00000041272,ENSMUSG00000041670,ENSMUSG00000044117,ENSMUSG00000044667,ENSMUSG00000045763,ENSMUSG00000046093,ENSMUSG00000046230,ENSMUSG00000046442,ENSMUSG00000046447,ENSMUSG00000047261,ENSMUSG00000048915,ENSMUSG00000049583,ENSMUSG00000049630,ENSMUSG00000051331,ENSMUSG00000051359,ENSMUSG00000051391,ENSMUSG00000052459,ENSMUSG00000052516,ENSMUSG00000052539,ENSMUSG00000052727,ENSMUSG00000052889,ENSMUSG00000053310,ENSMUSG00000054459,ENSMUSG00000054640,ENSMUSG00000054843,ENSMUSG00000055067,ENSMUSG00000056486,ENSMUSG00000056602,ENSMUSG00000056755,ENSMUSG00000059173,ENSMUSG00000059187,ENSMUSG00000060534,ENSMUSG00000060924,ENSMUSG00000061887,ENSMUSG00000062580,ENSMUSG00000062991,ENSMUSG00000063358,ENSMUSG00000063882,ENSMUSG00000067889,ENSMUSG00000079037,ENSMUSG00000089715	Calm1,Tubb5,Celf2,Peg3,Dlgap1,Homer1,Snap47,Cacna1d,Chd3,Trim37,Ywhah,Atp6v1e1,Calm3,Wasf1,Atp2b1,Hint1,Cyfip2,Adcy1,Drg1,Tom1l1,Klhl29,Asic2,Rtn1,Rgs6,Cap2,Nkiras1,Ppp3cb,Extl3,Nefl,Sub1,Atp6v1c1,Csmd3,Shisa9,Kif21a,Tagln3,Ube2v2,Tpi1,Prkn,Abca3,Mapk8ip3,Celf4,Ndfip1,Camk2a,Shoc2,Got1,Btrc,Cnksr2,Prkar1b,Cplx2,Snca,Coq10b,Pnkd,Tuba4a,Rgs7,Dcaf6,Dnm1,Olfm1,Map1a,Snap25,Chgb,Stmn2,Stmn3,Nbea,Kcnab1,Serpini1,Glrb,Lrrc7,Brinp1,Stmn1,Ncdn,Cdk14,Kcnip4,Uchl1,Gabarapl1,Atp2b2,Aldoa,Ndufab1,Fgf13,Cdkl5,Zcchc18,Slc25a4,Rab3a,Nptn,Arpp21,Cck,Rab6b,Bsn,Snap91,Rbfox2,Ppp3r1,Kcnk1,Pcdh11x,Grip1,Ndrg4,Dpp10,Nme1,Cisd1,Snrk,Dgki,St6galnac5,Camk1d,Cntnap2,Rcan2,Gabbr2,Cacna2d1,Nrg3,Tox,Rims1,Bmerb1,Plppr4,Basp1,Hpcal4,Vps13a,Ppm1e,Camk2n1,Gap43,Efna5,Grm5,C1ql3,Cacna1c,Ncald,Ywhag,Atp6v1a,Robo2,Magi3,Map1b,Prkcb,Nrgn,Vsnl1,Slc8a1,Atrnl1,Smyd3,Chn1,Fry,Grm7,Pde1a,Tafa1,Dcc,Csmd1,Ssbp3,Timm17a,Nrg1,Mapk1,Uqcrh,Sptbn2,Prnp,Cbx6
ASC.C31	DLPFCbrown_1	0.990809887111087	0.498504411032553	0.00881488736532811	9	1021	1	0.00400966831918134	0	ENSMUSG00000016534,ENSMUSG00000022548,ENSMUSG00000025375,ENSMUSG00000030342,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000034488,ENSMUSG00000042246,ENSMUSG00000068270	Lamp2,Apod,Aatk,Cd9,Plp1,Fez1,Edil3,Tmc7,Shroom4
ASC.C31	TCXyellow_1	0.999999997921732	0.426528118177249	0.0247883917775091	41	1654	1	9.02580085100208e-10	0	ENSMUSG00000001773,ENSMUSG00000004508,ENSMUSG00000016534,ENSMUSG00000019054,ENSMUSG00000019899,ENSMUSG00000020160,ENSMUSG00000022139,ENSMUSG00000022883,ENSMUSG00000023861,ENSMUSG00000025375,ENSMUSG00000026234,ENSMUSG00000027422,ENSMUSG00000027525,ENSMUSG00000028399,ENSMUSG00000028618,ENSMUSG00000030342,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000033985,ENSMUSG00000034066,ENSMUSG00000034488,ENSMUSG00000035376,ENSMUSG00000036019,ENSMUSG00000036528,ENSMUSG00000036745,ENSMUSG00000039047,ENSMUSG00000039621,ENSMUSG00000039959,ENSMUSG00000041235,ENSMUSG00000041607,ENSMUSG00000042246,ENSMUSG00000043259,ENSMUSG00000049800,ENSMUSG00000065979,ENSMUSG00000068270,ENSMUSG00000069601,ENSMUSG00000069670	Folh1,Gab2,Lamp2,Fis1,Lama2,Meis1,Mbnl2,Robo1,Mpc1,Aatk,Ncl,Rrbp1,Phactr3,Ptprd,Tmem59,Cd9,Acer3,Fgfr2,Plp1,Fez1,Colgalt2,Ccdc88a,Tesk2,Farp2,Edil3,Hacd2,Tmtc2,Ppfibp2,Ttll7,Pigk,Prex1,Hip1,Chd7,Mbp,Tmc7,Fam13c,Sertad2,Cpped1,Shroom4,Ank3,Nkain2
ASC.C31	PHGgreen_1	0.999675654097116	0.562265412115649	0.0237388724035608	32	1348	1	0.000140884484738295	0	ENSMUSG00000001773,ENSMUSG00000004508,ENSMUSG00000016534,ENSMUSG00000020160,ENSMUSG00000024593,ENSMUSG00000025375,ENSMUSG00000027422,ENSMUSG00000027525,ENSMUSG00000028399,ENSMUSG00000028525,ENSMUSG00000030342,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000031425,ENSMUSG00000032118,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000033985,ENSMUSG00000034488,ENSMUSG00000036019,ENSMUSG00000036528,ENSMUSG00000036745,ENSMUSG00000039621,ENSMUSG00000039959,ENSMUSG00000040759,ENSMUSG00000041235,ENSMUSG00000041607,ENSMUSG00000042246,ENSMUSG00000043259,ENSMUSG00000055538,ENSMUSG00000065979,ENSMUSG00000068270	Folh1,Gab2,Lamp2,Meis1,Megf10,Aatk,Rrbp1,Phactr3,Ptprd,Pde4b,Cd9,Acer3,Fgfr2,Plp1,Fez1,Colgalt2,Ccdc88a,Tesk2,Edil3,Tmtc2,Ppfibp2,Ttll7,Prex1,Hip1,Cmtm5,Chd7,Mbp,Tmc7,Fam13c,Zcchc24,Cpped1,Shroom4
