sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
ASC.C31	M10 Ambiguous	0.968549867007007	0.629438102387399	0.0135265700483092	14	1035	1	0.0138780141720832	0	ENSMUSG00000005417,ENSMUSG00000017631,ENSMUSG00000020181,ENSMUSG00000025375,ENSMUSG00000027273,ENSMUSG00000027581,ENSMUSG00000033066,ENSMUSG00000037331,ENSMUSG00000038014,ENSMUSG00000041688,ENSMUSG00000052632,ENSMUSG00000056602,ENSMUSG00000060534,ENSMUSG00000060924	Mprip,Abr,Nav3,Aatk,Snap25,Stmn3,Gas7,Larp1,Fam120a,Amot,Asap2,Fry,Dcc,Csmd1
ASC.C31	M3 Oligo/Myelination	0.998509254753428	0.562986642597715	0.0202190395956192	24	1187	1	0.00064790548559844	0	ENSMUSG00000001773,ENSMUSG00000005534,ENSMUSG00000016534,ENSMUSG00000020612,ENSMUSG00000022055,ENSMUSG00000022548,ENSMUSG00000024661,ENSMUSG00000026923,ENSMUSG00000027422,ENSMUSG00000028525,ENSMUSG00000030342,ENSMUSG00000031425,ENSMUSG00000032740,ENSMUSG00000034488,ENSMUSG00000036528,ENSMUSG00000039959,ENSMUSG00000040759,ENSMUSG00000040940,ENSMUSG00000041607,ENSMUSG00000042246,ENSMUSG00000050708,ENSMUSG00000065979,ENSMUSG00000069601,ENSMUSG00000072235	Folh1,Insr,Lamp2,Prkar1a,Nefl,Apod,Fth1,Notch1,Rrbp1,Pde4b,Cd9,Plp1,Ccdc88a,Edil3,Ppfibp2,Hip1,Cmtm5,Arhgef1,Mbp,Tmc7,Ftl1,Cpped1,Ank3,Tuba1a
ASC.C31	M4 Synapse/Neuron	0.83437181734849	0.830138995511069	0.0228102189781022	25	1096	1	0.0786403735373528	0	ENSMUSG00000003279,ENSMUSG00000010376,ENSMUSG00000015733,ENSMUSG00000020541,ENSMUSG00000020849,ENSMUSG00000022762,ENSMUSG00000024617,ENSMUSG00000025889,ENSMUSG00000026202,ENSMUSG00000026825,ENSMUSG00000027351,ENSMUSG00000030695,ENSMUSG00000036438,ENSMUSG00000036815,ENSMUSG00000041794,ENSMUSG00000043259,ENSMUSG00000045763,ENSMUSG00000047126,ENSMUSG00000047261,ENSMUSG00000049583,ENSMUSG00000049630,ENSMUSG00000052889,ENSMUSG00000055022,ENSMUSG00000056755,ENSMUSG00000059439	Dlgap1,Nedd8,Capza2,Tom1l1,Ywhae,Ncam2,Camk2a,Snca,Tuba4a,Dnm1,Spred1,Aldoa,Calm2,Dpp10,Myrip,Fam13c,Basp1,Cltc,Gap43,Grm5,C1ql3,Prkcb,Cntn1,Grm7,Bcas3
ASC.C31	M9 Golgi	0.997123154553182	0.499088240501179	0.0122295390404516	13	1063	1	0.00125119871969008	0	ENSMUSG00000001467,ENSMUSG00000003316,ENSMUSG00000018474,ENSMUSG00000019232,ENSMUSG00000020070,ENSMUSG00000020982,ENSMUSG00000021589,ENSMUSG00000024516,ENSMUSG00000032393,ENSMUSG00000032741,ENSMUSG00000054252,ENSMUSG00000070493,ENSMUSG00000093930	Cyp51,Glg1,Chd3,Etnppl,Rufy2,Nemf,Rhobtb3,Sec11c,Dpp8,Tpcn1,Fgfr3,Chchd2,Hmgcs1
ASC.C31	M17 Transcription	0.999976781011967	0.265657711881126	0.00579150579150579	6	1036	1	1.00839954488076e-05	0	ENSMUSG00000021149,ENSMUSG00000024287,ENSMUSG00000030029,ENSMUSG00000038024,ENSMUSG00000042323,ENSMUSG00000061032	Gtpbp4,Thoc1,Lrig1,Dennd4c,Pbrm1,Rrp1
ASC.C31	M1 Synapse/Neuron	0.742006512326675	0.915837294270033	0.040488922841864	53	1309	1	0.12959228305638	0	ENSMUSG00000004902,ENSMUSG00000006276,ENSMUSG00000006932,ENSMUSG00000018326,ENSMUSG00000018965,ENSMUSG00000019210,ENSMUSG00000019831,ENSMUSG00000019943,ENSMUSG00000021066,ENSMUSG00000021087,ENSMUSG00000021219,ENSMUSG00000021555,ENSMUSG00000021699,ENSMUSG00000021816,ENSMUSG00000022295,ENSMUSG00000022469,ENSMUSG00000022474,ENSMUSG00000024462,ENSMUSG00000024976,ENSMUSG00000025658,ENSMUSG00000026991,ENSMUSG00000027002,ENSMUSG00000027273,ENSMUSG00000027500,ENSMUSG00000027799,ENSMUSG00000028176,ENSMUSG00000029088,ENSMUSG00000029580,ENSMUSG00000031840,ENSMUSG00000032336,ENSMUSG00000032470,ENSMUSG00000032503,ENSMUSG00000032589,ENSMUSG00000033419,ENSMUSG00000034709,ENSMUSG00000035152,ENSMUSG00000039809,ENSMUSG00000040118,ENSMUSG00000041670,ENSMUSG00000046230,ENSMUSG00000047126,ENSMUSG00000051331,ENSMUSG00000051391,ENSMUSG00000052459,ENSMUSG00000052516,ENSMUSG00000053825,ENSMUSG00000055067,ENSMUSG00000056755,ENSMUSG00000058589,ENSMUSG00000059439,ENSMUSG00000067889,ENSMUSG00000072772,ENSMUSG00000094483	Slc25a18,Eps15l1,Ctnnb1,Ywhab,Ywhah,Atp6v1e1,Wasf1,Atp2b1,Atl1,Rtn1,Rgs6,Naa35,Pde4d,Ppp3cb,Atp6v1c1,Rapgef3,Pmm1,Gabbr1,Shoc2,Cnksr2,Pkp4,Nckap1,Snap25,Stmn2,Nbea,Lrrc7,Kcnip4,Actb,Rab3a,Nptn,Mras,Arpp21,Bsn,Snap91,Ppp1r21,Ap2b1,Gabbr2,Cacna2d1,Rims1,Vps13a,Cltc,Cacna1c,Ywhag,Atp6v1a,Robo2,Ppfia2,Smyd3,Grm7,Anks1b,Bcas3,Sptbn2,Grcc10,Purb
ASC.C31	M8 Protein Transport	0.987625249329594	0.58328840932306	0.0141376060320452	15	1061	1	0.00540781555628478	0	ENSMUSG00000001847,ENSMUSG00000004364,ENSMUSG00000007564,ENSMUSG00000007815,ENSMUSG00000008892,ENSMUSG00000012848,ENSMUSG00000020340,ENSMUSG00000020704,ENSMUSG00000021087,ENSMUSG00000024121,ENSMUSG00000028926,ENSMUSG00000030744,ENSMUSG00000046093,ENSMUSG00000046230,ENSMUSG00000066036	Rac1,Cul3,Ppp2r1a,Rhoa,Vdac3,Rps5,Cyfip2,Asic2,Rtn1,Atp6v0c,Cdk14,Rps3,Hpcal4,Vps13a,Ubr4
ASC.C31	M19 Axonogenesis	0.985400469494351	0.505585986362015	0.00811359026369168	8	986	1	0.00638723514132366	0	ENSMUSG00000006676,ENSMUSG00000018411,ENSMUSG00000022044,ENSMUSG00000022883,ENSMUSG00000022905,ENSMUSG00000032503,ENSMUSG00000035566,ENSMUSG00000042628	Usp19,Mapt,Stmn4,Robo1,Kpna1,Arpp21,Pcdh17,Zfyve1
ASC.C31	M6 Ribosome	0.999986997035579	0.326251401660785	0.00912408759124087	10	1096	1	5.64715241130462e-06	0	ENSMUSG00000003623,ENSMUSG00000021772,ENSMUSG00000025967,ENSMUSG00000029918,ENSMUSG00000035202,ENSMUSG00000035227,ENSMUSG00000039047,ENSMUSG00000049252,ENSMUSG00000061046,ENSMUSG00000070509	Crot,Nkiras1,Eef1b2,Mrps33,Lars2,Spcs2,Pigk,Lrp1b,Haghl,Rgma
ASC.C31	M7 MAPK/Metabolism	0.986912218653816	0.594731557376285	0.0149532710280374	16	1070	1	0.00572147412838046	0	ENSMUSG00000004267,ENSMUSG00000005034,ENSMUSG00000008348,ENSMUSG00000020267,ENSMUSG00000022037,ENSMUSG00000024975,ENSMUSG00000026185,ENSMUSG00000027087,ENSMUSG00000027367,ENSMUSG00000028833,ENSMUSG00000028964,ENSMUSG00000031765,ENSMUSG00000032549,ENSMUSG00000036564,ENSMUSG00000057666,ENSMUSG00000063358	Eno2,Prkacb,Ubc,Hint1,Clu,Pdcd4,Igfbp5,Itgav,Stard7,Ncdn,Park7,Mt1,Rab6b,Ndrg4,Gapdh,Mapk1
