sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
ASC.C31 Down	Lipid_Metabolism	0.999967680354687	0.570375339975134	0.0174496644295302	52	2980	1	1.40364704447098e-05	0	ENSMUSG00000000127,ENSMUSG00000001467,ENSMUSG00000003623,ENSMUSG00000004508,ENSMUSG00000005534,ENSMUSG00000010095,ENSMUSG00000018334,ENSMUSG00000019232,ENSMUSG00000020263,ENSMUSG00000021127,ENSMUSG00000021466,ENSMUSG00000021823,ENSMUSG00000023826,ENSMUSG00000024130,ENSMUSG00000024563,ENSMUSG00000024620,ENSMUSG00000024975,ENSMUSG00000024978,ENSMUSG00000024998,ENSMUSG00000025958,ENSMUSG00000026587,ENSMUSG00000026600,ENSMUSG00000026923,ENSMUSG00000027367,ENSMUSG00000027452,ENSMUSG00000028020,ENSMUSG00000028163,ENSMUSG00000029838,ENSMUSG00000030235,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000030990,ENSMUSG00000031137,ENSMUSG00000031523,ENSMUSG00000032193,ENSMUSG00000032740,ENSMUSG00000033565,ENSMUSG00000033629,ENSMUSG00000034462,ENSMUSG00000034813,ENSMUSG00000036353,ENSMUSG00000037697,ENSMUSG00000039037,ENSMUSG00000039047,ENSMUSG00000039217,ENSMUSG00000039630,ENSMUSG00000041119,ENSMUSG00000042628,ENSMUSG00000045092,ENSMUSG00000046230,ENSMUSG00000063889,ENSMUSG00000093930	Fer,Cyp51,Crot,Gab2,Insr,Slc3a2,Ksr1,Etnppl,Appl2,Zfp36l1,Ptch1,Vcl,Prkn,Abca3,Smad2,Pdgfrb,Pdcd4,Gpam,Plce1,Creb1,Astn1,Soat1,Notch1,Stard7,Acss1,Glrb,Nfkb1,Ptn,Slco1c1,Acer3,Fgfr2,Pgap2,Fgf13,Dlc1,Ldlr,Ccdc88a,Rbfox2,Hacd3,Pkd2,Grip1,P2ry12,Ddhd1,St6galnac5,Pigk,Il18,Hnrnpu,Pde9a,Zfyve1,S1pr1,Vps13a,Crem,Hmgcs1
ASC.C31 Down	Proteostasis	0.99999999987586	0.476851105692888	0.0176211453744493	88	4994	1	5.39134271379143e-11	0	ENSMUSG00000001467,ENSMUSG00000002109,ENSMUSG00000003316,ENSMUSG00000004364,ENSMUSG00000004892,ENSMUSG00000014496,ENSMUSG00000014668,ENSMUSG00000015085,ENSMUSG00000017677,ENSMUSG00000018334,ENSMUSG00000018707,ENSMUSG00000019916,ENSMUSG00000020457,ENSMUSG00000020541,ENSMUSG00000020614,ENSMUSG00000021127,ENSMUSG00000021149,ENSMUSG00000021466,ENSMUSG00000021555,ENSMUSG00000021589,ENSMUSG00000021823,ENSMUSG00000021824,ENSMUSG00000022498,ENSMUSG00000023826,ENSMUSG00000024140,ENSMUSG00000024350,ENSMUSG00000024404,ENSMUSG00000024563,ENSMUSG00000024620,ENSMUSG00000024811,ENSMUSG00000024908,ENSMUSG00000024998,ENSMUSG00000025103,ENSMUSG00000026187,ENSMUSG00000026527,ENSMUSG00000026571,ENSMUSG00000026600,ENSMUSG00000026614,ENSMUSG00000026663,ENSMUSG00000026923,ENSMUSG00000027168,ENSMUSG00000027189,ENSMUSG00000027364,ENSMUSG00000027422,ENSMUSG00000027737,ENSMUSG00000028015,ENSMUSG00000028309,ENSMUSG00000029088,ENSMUSG00000029838,ENSMUSG00000030126,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000030990,ENSMUSG00000031283,ENSMUSG00000031684,ENSMUSG00000032193,ENSMUSG00000032217,ENSMUSG00000032525,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000033629,ENSMUSG00000034462,ENSMUSG00000034813,ENSMUSG00000035131,ENSMUSG00000035632,ENSMUSG00000036019,ENSMUSG00000036356,ENSMUSG00000037331,ENSMUSG00000038024,ENSMUSG00000039037,ENSMUSG00000039047,ENSMUSG00000039701,ENSMUSG00000039934,ENSMUSG00000041119,ENSMUSG00000041235,ENSMUSG00000042628,ENSMUSG00000046034,ENSMUSG00000046230,ENSMUSG00000047213,ENSMUSG00000050965,ENSMUSG00000051674,ENSMUSG00000053877,ENSMUSG00000058594,ENSMUSG00000058835,ENSMUSG00000060579,ENSMUSG00000063760,ENSMUSG00000068039,ENSMUSG00000070509	Cyp51,Ddb2,Glg1,Cul3,Bcan,Ankrd28,Chfr,Entpd2,Wsb1,Ksr1,Dync1h1,P4ha1,Drg1,Tom1l1,Fam20a,Zfp36l1,Gtpbp4,Ptch1,Naa35,Rhobtb3,Vcl,Ap3m1,Txndc11,Prkn,Epas1,Dnajc18,Riok3,Smad2,Pdgfrb,Tnks2,Ppp6r3,Plce1,Btbd1,Xrcc5,Rgs7,Dcaf6,Soat1,Slc30a10,Atf6,Notch1,Pax6,Trim44,Usp50,Rrbp1,Slc7a11,Ctso,Rnf20,Kcnip4,Ptn,Tmcc1,Acer3,Fgfr2,Pgap2,Chrdl1,Slc10a7,Ldlr,Rnf111,Nktr,Colgalt2,Ccdc88a,Hacd3,Pkd2,Grip1,Brinp3,Cnot3,Tmtc2,Csgalnact1,Larp1,Dennd4c,St6galnac5,Pigk,Usp53,Gsap,Pde9a,Chd7,Zfyve1,Otulin,Vps13a,Ythdf3,Prkca,Dcun1d4,Srcap,Fbh1,Abi1,Fhit,Rnf217,Tcp1,Rgma
ASC.C31 Down	Immune_Response	0.99991774306653	0.571446865443955	0.0169555388093444	45	2654	1	3.57252016471068e-05	0	ENSMUSG00000000127,ENSMUSG00000003316,ENSMUSG00000004508,ENSMUSG00000010095,ENSMUSG00000018707,ENSMUSG00000020160,ENSMUSG00000020263,ENSMUSG00000020546,ENSMUSG00000021127,ENSMUSG00000021699,ENSMUSG00000021820,ENSMUSG00000021823,ENSMUSG00000021938,ENSMUSG00000022471,ENSMUSG00000023951,ENSMUSG00000024140,ENSMUSG00000024404,ENSMUSG00000024563,ENSMUSG00000024975,ENSMUSG00000024978,ENSMUSG00000026187,ENSMUSG00000026923,ENSMUSG00000027002,ENSMUSG00000027737,ENSMUSG00000027951,ENSMUSG00000028028,ENSMUSG00000028163,ENSMUSG00000029838,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000031902,ENSMUSG00000032187,ENSMUSG00000032193,ENSMUSG00000032740,ENSMUSG00000036353,ENSMUSG00000039153,ENSMUSG00000039217,ENSMUSG00000045092,ENSMUSG00000046034,ENSMUSG00000050199,ENSMUSG00000051331,ENSMUSG00000058835,ENSMUSG00000059182,ENSMUSG00000065979,ENSMUSG00000068039	Fer,Glg1,Gab2,Slc3a2,Dync1h1,Meis1,Appl2,Stxbp4,Zfp36l1,Pde4d,Camk2g,Vcl,Pspc1,Xrcc6,Vegfa,Epas1,Riok3,Smad2,Pdcd4,Gpam,Xrcc5,Notch1,Nckap1,Slc7a11,Adar,Alpk1,Nfkb1,Ptn,Acer3,Fgfr2,Nfatc3,Smarca4,Ldlr,Ccdc88a,P2ry12,Runx2,Il18,S1pr1,Otulin,Lgr4,Cacna1c,Abi1,Skap2,Cpped1,Tcp1
ASC.C31 Down	Autophagy	0.999499471782587	0.436317186663071	0.010016694490818	12	1198	1	0.000217431062590986	0	ENSMUSG00000018707,ENSMUSG00000020263,ENSMUSG00000020546,ENSMUSG00000023826,ENSMUSG00000026663,ENSMUSG00000027002,ENSMUSG00000032193,ENSMUSG00000037331,ENSMUSG00000042628,ENSMUSG00000046230,ENSMUSG00000047767,ENSMUSG00000058835	Dync1h1,Appl2,Stxbp4,Prkn,Atf6,Nckap1,Ldlr,Larp1,Zfyve1,Vps13a,Atg16l2,Abi1
ASC.C31 Down	Mitochondrial_Metabolism	0.99998706095719	0.454747734097766	0.0125260960334029	24	1916	1	5.61939124837736e-06	0	ENSMUSG00000000168,ENSMUSG00000004902,ENSMUSG00000019232,ENSMUSG00000019916,ENSMUSG00000021339,ENSMUSG00000021577,ENSMUSG00000023826,ENSMUSG00000024500,ENSMUSG00000024827,ENSMUSG00000024978,ENSMUSG00000025958,ENSMUSG00000025981,ENSMUSG00000027367,ENSMUSG00000027452,ENSMUSG00000028163,ENSMUSG00000035131,ENSMUSG00000036353,ENSMUSG00000037697,ENSMUSG00000040459,ENSMUSG00000042628,ENSMUSG00000046230,ENSMUSG00000050965,ENSMUSG00000060579,ENSMUSG00000064068	Dlat,Slc25a18,Etnppl,P4ha1,Mrs2,Sdha,Prkn,Ppp2r2b,Gldc,Gpam,Creb1,Coq10b,Stard7,Acss1,Nfkb1,Brinp3,P2ry12,Ddhd1,Arglu1,Zfyve1,Vps13a,Prkca,Fhit,Mtx1
ASC.C31 Down	Structural_Stabilization	0.99986693443933	0.646734556600124	0.0209296665855439	86	4109	1	5.77934839767748e-05	0	ENSMUSG00000000127,ENSMUSG00000000305,ENSMUSG00000002109,ENSMUSG00000003279,ENSMUSG00000003316,ENSMUSG00000004364,ENSMUSG00000004892,ENSMUSG00000006276,ENSMUSG00000007411,ENSMUSG00000009739,ENSMUSG00000010095,ENSMUSG00000015085,ENSMUSG00000018707,ENSMUSG00000019803,ENSMUSG00000019899,ENSMUSG00000019916,ENSMUSG00000019986,ENSMUSG00000020457,ENSMUSG00000020611,ENSMUSG00000020961,ENSMUSG00000021149,ENSMUSG00000021373,ENSMUSG00000021589,ENSMUSG00000021699,ENSMUSG00000021823,ENSMUSG00000021938,ENSMUSG00000022629,ENSMUSG00000023826,ENSMUSG00000023951,ENSMUSG00000024006,ENSMUSG00000024287,ENSMUSG00000024462,ENSMUSG00000024500,ENSMUSG00000024620,ENSMUSG00000024811,ENSMUSG00000024998,ENSMUSG00000026571,ENSMUSG00000026587,ENSMUSG00000026923,ENSMUSG00000027002,ENSMUSG00000027525,ENSMUSG00000027737,ENSMUSG00000027834,ENSMUSG00000028020,ENSMUSG00000028476,ENSMUSG00000028556,ENSMUSG00000028809,ENSMUSG00000029534,ENSMUSG00000029673,ENSMUSG00000029838,ENSMUSG00000030849,ENSMUSG00000031137,ENSMUSG00000031523,ENSMUSG00000031647,ENSMUSG00000032649,ENSMUSG00000032740,ENSMUSG00000033629,ENSMUSG00000033671,ENSMUSG00000034462,ENSMUSG00000034755,ENSMUSG00000034813,ENSMUSG00000035305,ENSMUSG00000035566,ENSMUSG00000036087,ENSMUSG00000036353,ENSMUSG00000037331,ENSMUSG00000038126,ENSMUSG00000038594,ENSMUSG00000039217,ENSMUSG00000039630,ENSMUSG00000039701,ENSMUSG00000039809,ENSMUSG00000040459,ENSMUSG00000041670,ENSMUSG00000041794,ENSMUSG00000045092,ENSMUSG00000048001,ENSMUSG00000050840,ENSMUSG00000050965,ENSMUSG00000051331,ENSMUSG00000052539,ENSMUSG00000056602,ENSMUSG00000058835,ENSMUSG00000066043,ENSMUSG00000066406,ENSMUSG00000068039	Fer,Cdh4,Ddb2,Dlgap1,Glg1,Cul3,Bcan,Eps15l1,Mark3,Pou6f1,Slc3a2,Entpd2,Dync1h1,Nr2e1,Lama2,P4ha1,Ahi1,Drg1,Gna13,Ston2,Gtpbp4,Cap2,Rhobtb3,Pde4d,Vcl,Pspc1,Kif21a,Prkn,Vegfa,Stk38,Thoc1,Gabbr1,Ppp2r2b,Pdgfrb,Tnks2,Plce1,Dcaf6,Astn1,Notch1,Nckap1,Phactr3,Slc7a11,Serpini1,Glrb,Reck,Dock7,Srrm1,St7,Auts2,Ptn,Fgfr2,Fgf13,Dlc1,Mfap3l,Colgalt2,Ccdc88a,Hacd3,Cep350,Pkd2,Pcdh11x,Grip1,Ror1,Pcdh17,Slain2,P2ry12,Larp1,Mphosph9,Cep85l,Il18,Hnrnpu,Usp53,Gabbr2,Arglu1,Rims1,Myrip,S1pr1,Hes5,Cdh20,Prkca,Cacna1c,Magi3,Fry,Abi1,Phactr4,Akap13,Tcp1
ASC.C31 Down	Endolysosome	0.999992340120025	0.445781393626133	0.0123520329387545	24	1943	1	3.32665634627615e-06	0	ENSMUSG00000004892,ENSMUSG00000005534,ENSMUSG00000006276,ENSMUSG00000010095,ENSMUSG00000018707,ENSMUSG00000020070,ENSMUSG00000020263,ENSMUSG00000020541,ENSMUSG00000020961,ENSMUSG00000021589,ENSMUSG00000021824,ENSMUSG00000023826,ENSMUSG00000024130,ENSMUSG00000024620,ENSMUSG00000026587,ENSMUSG00000026614,ENSMUSG00000027737,ENSMUSG00000028015,ENSMUSG00000030126,ENSMUSG00000032193,ENSMUSG00000045092,ENSMUSG00000046230,ENSMUSG00000049252,ENSMUSG00000065979	Bcan,Insr,Eps15l1,Slc3a2,Dync1h1,Rufy2,Appl2,Tom1l1,Ston2,Rhobtb3,Ap3m1,Prkn,Abca3,Pdgfrb,Astn1,Slc30a10,Slc7a11,Ctso,Tmcc1,Ldlr,S1pr1,Vps13a,Lrp1b,Cpped1
ASC.C31 Down	Apoptosis	0.87264874690359	0.834685396151875	0.0214639515685195	39	1817	1	0.0591605306112587	0	ENSMUSG00000002265,ENSMUSG00000004364,ENSMUSG00000015709,ENSMUSG00000019803,ENSMUSG00000019986,ENSMUSG00000020611,ENSMUSG00000020704,ENSMUSG00000021127,ENSMUSG00000021555,ENSMUSG00000023826,ENSMUSG00000023951,ENSMUSG00000024287,ENSMUSG00000024404,ENSMUSG00000024500,ENSMUSG00000024620,ENSMUSG00000024975,ENSMUSG00000024978,ENSMUSG00000024985,ENSMUSG00000025958,ENSMUSG00000026614,ENSMUSG00000026663,ENSMUSG00000026923,ENSMUSG00000027002,ENSMUSG00000027737,ENSMUSG00000027951,ENSMUSG00000028163,ENSMUSG00000029838,ENSMUSG00000030760,ENSMUSG00000030849,ENSMUSG00000031523,ENSMUSG00000032580,ENSMUSG00000039701,ENSMUSG00000040940,ENSMUSG00000050965,ENSMUSG00000052539,ENSMUSG00000058594,ENSMUSG00000060579,ENSMUSG00000066406,ENSMUSG00000068039	Peg3,Cul3,Arnt2,Nr2e1,Ahi1,Gna13,Asic2,Zfp36l1,Naa35,Prkn,Vegfa,Thoc1,Riok3,Ppp2r2b,Pdgfrb,Pdcd4,Gpam,Tcf7l2,Creb1,Slc30a10,Atf6,Notch1,Nckap1,Slc7a11,Adar,Nfkb1,Ptn,Acer3,Fgfr2,Dlc1,Rbm5,Usp53,Arhgef1,Prkca,Magi3,Fbh1,Fhit,Akap13,Tcp1
ASC.C31 Down	Oxidative_Stress	0.981667201059157	0.507985555487403	0.00888324873096447	7	788	1	0.008035719178566	0	ENSMUSG00000000127,ENSMUSG00000023826,ENSMUSG00000024140,ENSMUSG00000024620,ENSMUSG00000026614,ENSMUSG00000027737,ENSMUSG00000034462	Fer,Prkn,Epas1,Pdgfrb,Slc30a10,Slc7a11,Pkd2
ASC.C31 Down	Vasculature	0.0882704940901393	1.2874257865354	0.0289317507418398	39	1348	0.437810787985685	1.05418444246194	0.358713541294971	ENSMUSG00000005534,ENSMUSG00000015968,ENSMUSG00000019803,ENSMUSG00000019899,ENSMUSG00000020160,ENSMUSG00000020611,ENSMUSG00000020704,ENSMUSG00000021127,ENSMUSG00000021699,ENSMUSG00000021823,ENSMUSG00000023951,ENSMUSG00000024140,ENSMUSG00000024620,ENSMUSG00000024975,ENSMUSG00000024985,ENSMUSG00000025283,ENSMUSG00000026923,ENSMUSG00000027002,ENSMUSG00000027168,ENSMUSG00000028476,ENSMUSG00000028556,ENSMUSG00000029088,ENSMUSG00000029838,ENSMUSG00000030235,ENSMUSG00000030849,ENSMUSG00000031137,ENSMUSG00000031902,ENSMUSG00000032193,ENSMUSG00000032740,ENSMUSG00000034462,ENSMUSG00000039217,ENSMUSG00000041235,ENSMUSG00000045092,ENSMUSG00000046034,ENSMUSG00000050965,ENSMUSG00000051331,ENSMUSG00000054477,ENSMUSG00000058835,ENSMUSG00000066406	Insr,Cacna1d,Nr2e1,Lama2,Meis1,Gna13,Asic2,Zfp36l1,Pde4d,Vcl,Vegfa,Epas1,Pdgfrb,Pdcd4,Tcf7l2,Sat1,Notch1,Nckap1,Pax6,Reck,Dock7,Kcnip4,Ptn,Slco1c1,Fgfr2,Fgf13,Nfatc3,Ldlr,Ccdc88a,Pkd2,Il18,Chd7,S1pr1,Otulin,Prkca,Cacna1c,Kcnn2,Abi1,Akap13
