sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
M0.C31	PHGblue_1	0.992454713772948	0.374794682400114	0.00555555555555556	4	720	1	0.00328930119681583	0	ENSMUSG00000015733,ENSMUSG00000021832,ENSMUSG00000027630,ENSMUSG00000033379	Capza2,Psmc6,Tbl1xr1,Atp6v0b
M0.C31	TCXblue_1	0.999996473506148	0.416322073520132	0.0169628432956381	21	1238	1	1.53153952098982e-06	0	ENSMUSG00000000149,ENSMUSG00000019820,ENSMUSG00000020611,ENSMUSG00000022108,ENSMUSG00000022807,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000027087,ENSMUSG00000028207,ENSMUSG00000030246,ENSMUSG00000032216,ENSMUSG00000034101,ENSMUSG00000038679,ENSMUSG00000038696,ENSMUSG00000041225,ENSMUSG00000041354,ENSMUSG00000052062,ENSMUSG00000056515,ENSMUSG00000060961,ENSMUSG00000061119,ENSMUSG00000064210	Gna12,Utrn,Gna13,Itm2b,Osbpl11,Itm2c,Serpine2,Itgav,Asph,Ldhb,Nedd4,Ctnnd1,Trps1,Mapkap1,Arhgap12,Rgl2,Pard3b,Rab31,Slc4a4,Prcp,Ano6
M0.C31	DLPFCblue_4	0.984122290307432	0.474466815950594	0.00803212851405622	6	747	1	0.00695093133922926	0	ENSMUSG00000000149,ENSMUSG00000020827,ENSMUSG00000022912,ENSMUSG00000026031,ENSMUSG00000037062,ENSMUSG00000064210	Gna12,Mink1,Pros1,Cflar,Sh3glb1,Ano6
M0.C31	TCXturquoise_2	0.999642033402925	0.300079229289864	0.00625	5	800	1	0.000155490749723503	0	ENSMUSG00000022912,ENSMUSG00000022971,ENSMUSG00000025283,ENSMUSG00000029713,ENSMUSG00000030921	Pros1,Ifnar2,Sat1,Gnb2,Trim30a
M0.C31	PHGturquoise_1	0.980893991872989	0.646667352430015	0.0201207243460765	20	994	1	0.00837792557854308	0	ENSMUSG00000000628,ENSMUSG00000000958,ENSMUSG00000020120,ENSMUSG00000021133,ENSMUSG00000024300,ENSMUSG00000025283,ENSMUSG00000026480,ENSMUSG00000030560,ENSMUSG00000030921,ENSMUSG00000031093,ENSMUSG00000031103,ENSMUSG00000032698,ENSMUSG00000034707,ENSMUSG00000036887,ENSMUSG00000036905,ENSMUSG00000037062,ENSMUSG00000044533,ENSMUSG00000049470,ENSMUSG00000059498,ENSMUSG00000064210	Hk2,Slc7a7,Plek,Susd6,Myo1f,Sat1,Ncf2,Ctsc,Trim30a,Dock11,Elf4,Lmo2,Gns,C1qa,C1qb,Sh3glb1,Rps2,Aff4,Fcgr3,Ano6
M0.C31	DLPFCblue_1	0.999996966548096	0.307546786085795	0.0099304865938431	10	1007	1	1.31741342113396e-06	0	ENSMUSG00000020671,ENSMUSG00000022108,ENSMUSG00000022807,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000027087,ENSMUSG00000028207,ENSMUSG00000056515,ENSMUSG00000060961,ENSMUSG00000061119	Rab10,Itm2b,Osbpl11,Itm2c,Serpine2,Itgav,Asph,Rab31,Slc4a4,Prcp
M0.C31	TCXgreen_1	0.999999996658613	0.509804820629502	0.0316139767054908	76	2404	1	1.45114610736815e-09	0	ENSMUSG00000000766,ENSMUSG00000000826,ENSMUSG00000001376,ENSMUSG00000004070,ENSMUSG00000006273,ENSMUSG00000014592,ENSMUSG00000017376,ENSMUSG00000018965,ENSMUSG00000020340,ENSMUSG00000020883,ENSMUSG00000021725,ENSMUSG00000021779,ENSMUSG00000021910,ENSMUSG00000022199,ENSMUSG00000022295,ENSMUSG00000022587,ENSMUSG00000022812,ENSMUSG00000023236,ENSMUSG00000024589,ENSMUSG00000025224,ENSMUSG00000025730,ENSMUSG00000025892,ENSMUSG00000025909,ENSMUSG00000025986,ENSMUSG00000026103,ENSMUSG00000026321,ENSMUSG00000026933,ENSMUSG00000027419,ENSMUSG00000027506,ENSMUSG00000028176,ENSMUSG00000028926,ENSMUSG00000029108,ENSMUSG00000029787,ENSMUSG00000030223,ENSMUSG00000030231,ENSMUSG00000030302,ENSMUSG00000030774,ENSMUSG00000031709,ENSMUSG00000032356,ENSMUSG00000033379,ENSMUSG00000033545,ENSMUSG00000033565,ENSMUSG00000033768,ENSMUSG00000034187,ENSMUSG00000034593,ENSMUSG00000034636,ENSMUSG00000035236,ENSMUSG00000035653,ENSMUSG00000036095,ENSMUSG00000036427,ENSMUSG00000036452,ENSMUSG00000038084,ENSMUSG00000038664,ENSMUSG00000038807,ENSMUSG00000039115,ENSMUSG00000039206,ENSMUSG00000039275,ENSMUSG00000039578,ENSMUSG00000039716,ENSMUSG00000040118,ENSMUSG00000040560,ENSMUSG00000045038,ENSMUSG00000046442,ENSMUSG00000047747,ENSMUSG00000052698,ENSMUSG00000055067,ENSMUSG00000056486,ENSMUSG00000056553,ENSMUSG00000057230,ENSMUSG00000057897,ENSMUSG00000058317,ENSMUSG00000059187,ENSMUSG00000061904,ENSMUSG00000061911,ENSMUSG00000064065,ENSMUSG00000118664	Oprm1,Dnajc5,Vps50,Hmox2,Atp6v1b2,Camta1,Nlk,Ywhah,Cyfip2,Fbxl20,Parp8,Thrb,Nisch,Slc22a17,Atp6v1c1,Ly6e,Gsk3b,Scg5,Nedd4l,Gbf1,Rab40c,Gria4,Sntg1,Slc39a10,Gls,Tnfrsf11a,Camsap1,Pcsk2,Tpd52,Lrrc7,Cdk14,Pcdh7,Avl9,Ptpro,Plekha5,Atp2b2,Pak1,Tbc1d9,Rasgrf1,Atp6v0b,Znrf1,Rbfox2,Nrxn2,Nsf,Myo5a,Zyg11b,Scai,Lrfn5,Dgkb,Gpi1,Arhgap26,Opa1,Herc1,Rap1gap2,Itga9,Daglb,Foxk2,Ccser1,Dock3,Cacna2d1,Wdr7,Prkce,Ppm1e,Rnf150,Tln2,Smyd3,Chn1,Ptprn2,Aak1,Camk2b,Ube2e2,Tafa1,Slc25a3,Myt1l,Ipcef1,Tusc3
M0.C31	DLPFCbrown_1	0.790430483777081	0.795137767907428	0.0123287671232877	9	730	1	0.102136319077205	0	ENSMUSG00000004677,ENSMUSG00000016534,ENSMUSG00000024413,ENSMUSG00000028412,ENSMUSG00000032554,ENSMUSG00000036503,ENSMUSG00000071042,ENSMUSG00000075284,ENSMUSG00000079110	Myo9b,Lamp2,Npc1,Slc44a1,Trf,Rnf13,Rasgrp3,Wipf1,Capn3
M0.C31	TCXyellow_1	0.997542162370884	0.640148461658971	0.0278184480234261	38	1366	1	0.0010687392521943	0	ENSMUSG00000004677,ENSMUSG00000006651,ENSMUSG00000016534,ENSMUSG00000017291,ENSMUSG00000018427,ENSMUSG00000021458,ENSMUSG00000022353,ENSMUSG00000022770,ENSMUSG00000024073,ENSMUSG00000024413,ENSMUSG00000026490,ENSMUSG00000026623,ENSMUSG00000028412,ENSMUSG00000028618,ENSMUSG00000030759,ENSMUSG00000030760,ENSMUSG00000031858,ENSMUSG00000032554,ENSMUSG00000033392,ENSMUSG00000033943,ENSMUSG00000035354,ENSMUSG00000035901,ENSMUSG00000036097,ENSMUSG00000036503,ENSMUSG00000037369,ENSMUSG00000037808,ENSMUSG00000038481,ENSMUSG00000039480,ENSMUSG00000040481,ENSMUSG00000041235,ENSMUSG00000041966,ENSMUSG00000045962,ENSMUSG00000055485,ENSMUSG00000064145,ENSMUSG00000066151,ENSMUSG00000071042,ENSMUSG00000075284,ENSMUSG00000079110	Myo9b,Aplp1,Lamp2,Taok1,Ypel2,Aopep,Mtss1,Dlg1,Birc6,Npc1,Cdc42bpa,Lpgat1,Slc44a1,Tmem59,Far1,Acer3,Mau2,Trf,Clasp2,Mga,Uvrag,Dennd5a,Slf2,Rnf13,Kdm6a,Fam76b,Cdk19,Nt5dc1,Bptf,Chd7,Dcaf17,Wnk1,Soga1,Arih2,Fkbp15,Rasgrp3,Wipf1,Capn3
M0.C31	PHGgreen_1	0.989902445722571	0.632187031949833	0.0215759849906191	23	1066	1	0.00440760274784397	0	ENSMUSG00000004677,ENSMUSG00000016534,ENSMUSG00000022770,ENSMUSG00000024413,ENSMUSG00000026393,ENSMUSG00000028412,ENSMUSG00000030759,ENSMUSG00000030760,ENSMUSG00000030766,ENSMUSG00000032228,ENSMUSG00000032554,ENSMUSG00000033237,ENSMUSG00000035901,ENSMUSG00000036097,ENSMUSG00000036503,ENSMUSG00000036918,ENSMUSG00000037369,ENSMUSG00000038481,ENSMUSG00000041235,ENSMUSG00000066151,ENSMUSG00000071042,ENSMUSG00000075284,ENSMUSG00000079110	Myo9b,Lamp2,Dlg1,Npc1,Nek7,Slc44a1,Far1,Acer3,Arhgap17,Tcf12,Trf,Arid2,Dennd5a,Slf2,Rnf13,Ttc7,Kdm6a,Cdk19,Chd7,Fkbp15,Rasgrp3,Wipf1,Capn3
