sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
M0.C31 Down	m109	0.357603918977115	1.2230970610608	0.0132075471698113	7	530	1	0.446597730421954	0	ENSMUSG00000001036,ENSMUSG00000017776,ENSMUSG00000020647,ENSMUSG00000025880,ENSMUSG00000031708,ENSMUSG00000038696,ENSMUSG00000041702	Epn2,Crk,Ncoa1,Smad7,Tecr,Mapkap1,Btbd7
M0.C31 Down	m110	0.398662668085788	1.18997936207815	0.0122199592668024	6	491	1	0.399394431012888	0	ENSMUSG00000016534,ENSMUSG00000021180,ENSMUSG00000032554,ENSMUSG00000038481,ENSMUSG00000040481,ENSMUSG00000054387	Lamp2,Rps6ka5,Trf,Cdk19,Bptf,Mdm4
M0.C31 Down	m111	0.305294287223859	1.38144343793463	0.0121654501216545	5	411	1	0.515281322299331	0	ENSMUSG00000005533,ENSMUSG00000020611,ENSMUSG00000024240,ENSMUSG00000025809,ENSMUSG00000033943	Igf1r,Gna13,Epc1,Itgb1,Mga
M0.C31 Down	m7	0.438948369982139	1.35915858405762	0.0069204152249135	2	289	1	0.357586559371783	0	ENSMUSG00000021820,ENSMUSG00000029062	Camk2g,Cdk11b
M0.C31 Down	m13	0.470833839867274	1.11467195681377	0.0108932461873638	5	459	1	0.327132331003881	0	ENSMUSG00000020070,ENSMUSG00000022064,ENSMUSG00000030002,ENSMUSG00000034544,ENSMUSG00000054302	Rufy2,Pibf1,Dusp11,Rsrc1,Eapp
M0.C31 Down	m131	1	0	0	0	233	1	0	0		NA
M0.C31 Down	m14	1	0	0	0	542	1	0	0		NA
M0.C31 Down	m114	0.927417797842667	0.463665305958039	0.00448430493273543	2	446	1	0.0327245739236174	0	ENSMUSG00000036918,ENSMUSG00000050708	Ttc7,Ftl1
M0.C31 Down	m12	0.997666704266932	0.162392025571238	0.00183823529411765	1	544	1	0.0010145215116919	0	ENSMUSG00000004267	Eno2
M0.C31 Down	m127	0.327221618493927	1.73819991690315	0.00738007380073801	2	271	1	0.485158011594636	0	ENSMUSG00000022789,ENSMUSG00000035949	Dnm1l,Fbxw2
M0.C31 Down	m128	0.621381201879746	1.04211132119326	0.00384615384615385	1	260	1	0.206641889226174	0	ENSMUSG00000038780	Smurf1
M0.C31 Down	m1	0.919172300468848	0.565684663320188	0.00668896321070234	4	598	1	0.036603071716191	0	ENSMUSG00000000131,ENSMUSG00000005625,ENSMUSG00000053754,ENSMUSG00000075706	Xpo6,Psmd4,Chd8,Gpx4
M0.C31 Down	m10	0.820213322487939	0.584064738638408	0.0033112582781457	1	302	1	0.0860731808714947	0	ENSMUSG00000027706	Sec62
M0.C31 Down	m106	0.974676977221307	0.411314449614175	0.00493421052631579	3	608	1	0.0111392922546657	0	ENSMUSG00000027677,ENSMUSG00000029068,ENSMUSG00000031858	Ttc14,Ccnl2,Mau2
M0.C31 Down	m107	0.538484580464568	1.01556872768495	0.0117845117845118	7	594	1	0.268826728234207	0	ENSMUSG00000020170,ENSMUSG00000020305,ENSMUSG00000022108,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000027210,ENSMUSG00000060961	Frs2,Asb3,Itm2b,Itm2c,Serpine2,Meis2,Slc4a4
M0.C31 Down	m108	0.989725469848853	0.215981665542337	0.00216450216450216	1	462	1	0.00448525334570212	0	ENSMUSG00000037791	Phf12
M0.C31 Down	m11	1	0	0	0	224	1	0	0		NA
M0.C31 Down	m112	1	0	0	0	271	1	0	0		NA
M0.C31 Down	m113	0.246912162374097	1.40028052011676	0.0142857142857143	7	490	1	0.607457517107908	0	ENSMUSG00000014592,ENSMUSG00000017421,ENSMUSG00000018363,ENSMUSG00000020827,ENSMUSG00000022174,ENSMUSG00000027433,ENSMUSG00000029817	Camta1,Zfp207,Smurf2,Mink1,Dad1,Xrn2,Tra2a
M0.C31 Down	m115	1	0	0	0	429	1	0	0		NA
M0.C31 Down	m116	0.989725469848853	0.215981665542337	0.00216450216450216	1	462	1	0.00448525334570212	0	ENSMUSG00000002014	Ssr4
M0.C31 Down	m117	0.628019327359222	0.927856547013648	0.0105448154657293	6	569	1	0.202026990599907	0	ENSMUSG00000003992,ENSMUSG00000007817,ENSMUSG00000019804,ENSMUSG00000028034,ENSMUSG00000028906,ENSMUSG00000035597	Ssbp2,Zmiz1,Snx3,Fubp1,Epb41,Prpf39
