sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
M0.C31	m109	0.0194669820901755	1.62436983277097	0.0284090909090909	25	880	0.242192159533654	1.71070137067681	0.61583992034402	ENSMUSG00000000441,ENSMUSG00000001036,ENSMUSG00000007880,ENSMUSG00000017776,ENSMUSG00000020097,ENSMUSG00000020128,ENSMUSG00000020647,ENSMUSG00000022141,ENSMUSG00000022185,ENSMUSG00000025880,ENSMUSG00000026842,ENSMUSG00000027881,ENSMUSG00000028917,ENSMUSG00000031708,ENSMUSG00000033671,ENSMUSG00000036644,ENSMUSG00000036893,ENSMUSG00000037210,ENSMUSG00000038696,ENSMUSG00000041702,ENSMUSG00000042625,ENSMUSG00000044791,ENSMUSG00000048000,ENSMUSG00000055485,ENSMUSG00000074305	Raf1,Epn2,Arid1a,Crk,Sgpl1,Vps54,Ncoa1,Nipbl,Acin1,Smad7,Abl1,Prpf38b,Plekhm2,Tecr,Cep350,Tbc1d9b,Ehmt1,Fam193a,Mapkap1,Btbd7,Safb2,Setd2,Gigyf2,Soga1,Peak1
M0.C31	m110	0.251850611696826	1.21946545293101	0.0200471698113208	17	848	1	0.598856989986999	0	ENSMUSG00000004677,ENSMUSG00000006527,ENSMUSG00000016534,ENSMUSG00000021180,ENSMUSG00000022353,ENSMUSG00000024413,ENSMUSG00000028412,ENSMUSG00000029655,ENSMUSG00000030760,ENSMUSG00000032554,ENSMUSG00000036503,ENSMUSG00000038481,ENSMUSG00000040481,ENSMUSG00000054387,ENSMUSG00000064145,ENSMUSG00000071042,ENSMUSG00000079110	Myo9b,Sfmbt1,Lamp2,Rps6ka5,Mtss1,Npc1,Slc44a1,N4bp2l2,Acer3,Trf,Rnf13,Cdk19,Bptf,Mdm4,Arih2,Rasgrp3,Capn3
M0.C31	m111	0.00315139796019586	2.09594294401255	0.0261780104712042	20	764	0.053321653486514	2.50149675042677	1.27309639172377	ENSMUSG00000004591,ENSMUSG00000005533,ENSMUSG00000018076,ENSMUSG00000020611,ENSMUSG00000021639,ENSMUSG00000024240,ENSMUSG00000024908,ENSMUSG00000025809,ENSMUSG00000025982,ENSMUSG00000026393,ENSMUSG00000027589,ENSMUSG00000030691,ENSMUSG00000032228,ENSMUSG00000033943,ENSMUSG00000034297,ENSMUSG00000035901,ENSMUSG00000040451,ENSMUSG00000045962,ENSMUSG00000055065,ENSMUSG00000065954	Pkn2,Igf1r,Med13l,Gna13,Gtf2h2,Epc1,Ppp6r3,Itgb1,Sf3b1,Nek7,Pcmtd2,Fchsd2,Tcf12,Mga,Med13,Dennd5a,Sgms1,Wnk1,Ddx17,Tacc1
M0.C31	m7	0.923689542087562	0.46926936691661	0.0030441400304414	2	657	1	0.0344739733841494	0	ENSMUSG00000021820,ENSMUSG00000029062	Camk2g,Cdk11b
M0.C31	m13	0.938761132698255	0.620329621111279	0.00970873786407767	8	824	1	0.0274448996913675	0	ENSMUSG00000010110,ENSMUSG00000019806,ENSMUSG00000020070,ENSMUSG00000022064,ENSMUSG00000030002,ENSMUSG00000032624,ENSMUSG00000034544,ENSMUSG00000054302	Stx5a,Aig1,Rufy2,Pibf1,Dusp11,Eml4,Rsrc1,Eapp
M0.C31	m131	1	0	0	0	601	1	0	0		NA
M0.C31	m14	0.999792011382459	0.289151307000801	0.00552486187845304	5	905	1	9.03377038294118e-05	0	ENSMUSG00000015189,ENSMUSG00000031536,ENSMUSG00000034709,ENSMUSG00000055067,ENSMUSG00000059586	Casd1,Polb,Ppp1r21,Smyd3,Nsmce2
M0.C31	m114	0.839056476342994	0.751277343568359	0.0111524163568773	9	807	1	0.0762088061097485	0	ENSMUSG00000024222,ENSMUSG00000027615,ENSMUSG00000028465,ENSMUSG00000030315,ENSMUSG00000030744,ENSMUSG00000036918,ENSMUSG00000037824,ENSMUSG00000041354,ENSMUSG00000050708	Fkbp5,Hps3,Tln1,Vgll4,Rps3,Ttc7,Tspan14,Rgl2,Ftl1
M0.C31	m12	0.999993749314321	0.170234204442743	0.0032967032967033	3	910	1	2.71464678292864e-06	0	ENSMUSG00000004267,ENSMUSG00000019254,ENSMUSG00000038619	Eno2,Ppp1r12c,Ensa
M0.C31	m127	0.412417774547515	1.24296937802798	0.00627943485086342	4	637	1	0.384662625586496	0	ENSMUSG00000021832,ENSMUSG00000022789,ENSMUSG00000022914,ENSMUSG00000035949	Psmc6,Dnm1l,Brwd1,Fbxw2
