sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
M0.C31 Down	M10 Ambiguous	0.876107171628024	0.595813091012087	0.00775193798449612	3	387	1	0.0574427646084571	0	ENSMUSG00000026249,ENSMUSG00000037331,ENSMUSG00000046876	Serpine2,Larp1,Atxn1
M0.C31 Down	M3 Oligo/Myelination	0.959035506461863	0.52065199666036	0.00914076782449726	5	547	1	0.0181653136061844	0	ENSMUSG00000001036,ENSMUSG00000006651,ENSMUSG00000016534,ENSMUSG00000050708,ENSMUSG00000072235	Epn2,Aplp1,Lamp2,Ftl1,Tuba1a
M0.C31 Down	M4 Synapse/Neuron	0.82253614009243	0.716259619954765	0.0109409190371991	5	457	1	0.0848450111920861	0	ENSMUSG00000000826,ENSMUSG00000029064,ENSMUSG00000029713,ENSMUSG00000034187,ENSMUSG00000037533	Dnajc5,Gnb1,Gnb2,Nsf,Rapgef6
M0.C31 Down	M9 Golgi	0.823079467150452	0.695579105395615	0.00968523002421307	4	413	1	0.0845582322496609	0	ENSMUSG00000017485,ENSMUSG00000020070,ENSMUSG00000020827,ENSMUSG00000028830	Top2b,Rufy2,Mink1,AU040320
M0.C31 Down	M17 Transcription	0.953857062307037	0.409164055109957	0.005249343832021	2	381	1	0.0205167004555197	0	ENSMUSG00000024287,ENSMUSG00000030759	Thoc1,Far1
M0.C31 Down	M1 Synapse/Neuron	0.578691958179992	0.97334689626505	0.0188405797101449	13	690	1	0.237552552788209	0	ENSMUSG00000006273,ENSMUSG00000018965,ENSMUSG00000022710,ENSMUSG00000022789,ENSMUSG00000024462,ENSMUSG00000024589,ENSMUSG00000024855,ENSMUSG00000025060,ENSMUSG00000026878,ENSMUSG00000033940,ENSMUSG00000036095,ENSMUSG00000036452,ENSMUSG00000040118	Atp6v1b2,Ywhah,Usp7,Dnm1l,Gabbr1,Nedd4l,Pacs1,Slk,Rab14,Brk1,Dgkb,Arhgap26,Cacna2d1
M0.C31 Down	M8 Protein Transport	0.500734419729228	1.06436597001469	0.0145985401459854	6	411	1	0.300392554826977	0	ENSMUSG00000004070,ENSMUSG00000022100,ENSMUSG00000022789,ENSMUSG00000025261,ENSMUSG00000033423,ENSMUSG00000075706	Hmox2,Xpo7,Dnm1l,Huwe1,Eri3,Gpx4
M0.C31 Down	M19 Axonogenesis	0.677417729176186	0.86231821370518	0.00903614457831325	3	332	1	0.169143441316088	0	ENSMUSG00000026575,ENSMUSG00000036095,ENSMUSG00000037400	Nme7,Dgkb,Atp11b
M0.C31 Down	M6 Ribosome	0.998712521261598	0.147130998282748	0.00224215246636771	1	446	1	0.000559505164493515	0	ENSMUSG00000024082	Ndufaf7
M0.C31 Down	M7 MAPK/Metabolism	0.712174754152601	0.836343234765434	0.0118483412322275	5	422	1	0.147413425672363	0	ENSMUSG00000004267,ENSMUSG00000017776,ENSMUSG00000019877,ENSMUSG00000021180,ENSMUSG00000038332	Eno2,Crk,Serinc1,Rps6ka5,Sesn1
M0.C31 Down	M33 Ambiguous	0.507103523014494	1.19202909739017	0.00749063670411985	2	267	1	0.294903372255441	0	ENSMUSG00000030302,ENSMUSG00000039480	Atp2b2,Nt5dc1
M0.C31 Down	M38 Heat Shock/Folding	0.737052958889716	0.755104505257509	0.00393700787401575	1	254	1	0.132501305998126	0	ENSMUSG00000027706	Sec62
M0.C31 Down	M23 Ambiguous	0.550884516578194	1.0478551926237	0.00967741935483871	3	310	1	0.258939433942071	0	ENSMUSG00000015087,ENSMUSG00000024576,ENSMUSG00000030231	Rabl6,Csnk1a1,Plekha5
M0.C31 Down	M22 Post-Synaptic Density	0.491497575517485	1.14848595537711	0.00996677740863787	3	301	1	0.308478620134948	0	ENSMUSG00000005871,ENSMUSG00000020827,ENSMUSG00000021288	Apc,Mink1,Klc1
M0.C31 Down	M2 Mitochondria	0.844167227646058	0.722894077114983	0.0126582278481013	7	553	1	0.0735715120829933	0	ENSMUSG00000021771,ENSMUSG00000026103,ENSMUSG00000030302,ENSMUSG00000033161,ENSMUSG00000036452,ENSMUSG00000038178,ENSMUSG00000060961	Vdac2,Gls,Atp2b2,Atp1a1,Arhgap26,Slc43a2,Slc4a4
M0.C31 Down	M31 Axon Node/Ion Channel	1	0	0	0	271	1	0	0		NA
M0.C31 Down	M24 Ubiquitination	0.93860762659648	0.356321383145446	0.00325732899022801	1	307	1	0.0275159212770397	0	ENSMUSG00000022199	Slc22a17
M0.C31 Down	M26 Complement/Acute Phase	0.811397040891292	0.650707212358742	0.00630914826498423	2	317	1	0.0907665804706459	0	ENSMUSG00000028906,ENSMUSG00000032554	Epb41,Trf
