sample	group	P	odds.ratio	Jaccard	intersection	union	FDR	LOGP	LOGFDR	ens_id	symbol
M0.C31 Down	Lipid_Metabolism	0.46804522877446	1.0251422177328	0.0169371912491179	48	2834	1	0.329712177571014	0	ENSMUSG00000001036,ENSMUSG00000004207,ENSMUSG00000005533,ENSMUSG00000005871,ENSMUSG00000015002,ENSMUSG00000016534,ENSMUSG00000017776,ENSMUSG00000018363,ENSMUSG00000018965,ENSMUSG00000019804,ENSMUSG00000019877,ENSMUSG00000020647,ENSMUSG00000020865,ENSMUSG00000021771,ENSMUSG00000022012,ENSMUSG00000022064,ENSMUSG00000022789,ENSMUSG00000023175,ENSMUSG00000024431,ENSMUSG00000025809,ENSMUSG00000026878,ENSMUSG00000027340,ENSMUSG00000028906,ENSMUSG00000029821,ENSMUSG00000030231,ENSMUSG00000030246,ENSMUSG00000030759,ENSMUSG00000030987,ENSMUSG00000031393,ENSMUSG00000031708,ENSMUSG00000032216,ENSMUSG00000033161,ENSMUSG00000033565,ENSMUSG00000035953,ENSMUSG00000036095,ENSMUSG00000036452,ENSMUSG00000036918,ENSMUSG00000037400,ENSMUSG00000037533,ENSMUSG00000037791,ENSMUSG00000038481,ENSMUSG00000038696,ENSMUSG00000038780,ENSMUSG00000052062,ENSMUSG00000060961,ENSMUSG00000071054,ENSMUSG00000072235,ENSMUSG00000075706	Epn2,Psap,Igf1r,Apc,Efr3a,Lamp2,Crk,Smurf2,Ywhah,Snx3,Serinc1,Ncoa1,Abcc3,Vdac2,Enox1,Pibf1,Dnm1l,Bsg,Nr3c1,Itgb1,Rab14,Slc23a2,Epb41,Gsdme,Plekha5,Ldhb,Far1,Stim1,Mecp2,Tecr,Nedd4,Atp1a1,Rbfox2,Pip4p1,Dgkb,Arhgap26,Ttc7,Atp11b,Rapgef6,Phf12,Cdk19,Mapkap1,Smurf1,Pard3b,Slc4a4,Safb,Tuba1a,Gpx4
M0.C31 Down	Proteostasis	0.792289860335194	0.897791525931416	0.0160692212608158	78	4854	1	0.101115902105285	0	ENSMUSG00000000826,ENSMUSG00000002014,ENSMUSG00000004070,ENSMUSG00000005625,ENSMUSG00000005871,ENSMUSG00000006651,ENSMUSG00000006673,ENSMUSG00000014496,ENSMUSG00000016018,ENSMUSG00000016534,ENSMUSG00000017776,ENSMUSG00000018363,ENSMUSG00000019804,ENSMUSG00000019877,ENSMUSG00000020305,ENSMUSG00000020671,ENSMUSG00000020827,ENSMUSG00000021288,ENSMUSG00000021945,ENSMUSG00000022043,ENSMUSG00000022108,ENSMUSG00000022174,ENSMUSG00000022710,ENSMUSG00000022789,ENSMUSG00000022812,ENSMUSG00000023175,ENSMUSG00000023236,ENSMUSG00000024576,ENSMUSG00000024589,ENSMUSG00000024855,ENSMUSG00000024983,ENSMUSG00000025261,ENSMUSG00000025880,ENSMUSG00000026223,ENSMUSG00000026249,ENSMUSG00000026878,ENSMUSG00000027419,ENSMUSG00000027433,ENSMUSG00000027706,ENSMUSG00000028618,ENSMUSG00000028830,ENSMUSG00000028945,ENSMUSG00000029064,ENSMUSG00000029713,ENSMUSG00000030967,ENSMUSG00000030987,ENSMUSG00000031708,ENSMUSG00000031996,ENSMUSG00000032216,ENSMUSG00000032249,ENSMUSG00000032525,ENSMUSG00000032554,ENSMUSG00000032570,ENSMUSG00000033161,ENSMUSG00000033423,ENSMUSG00000033545,ENSMUSG00000034187,ENSMUSG00000034636,ENSMUSG00000035949,ENSMUSG00000036371,ENSMUSG00000037331,ENSMUSG00000037400,ENSMUSG00000038696,ENSMUSG00000038780,ENSMUSG00000039671,ENSMUSG00000039753,ENSMUSG00000041058,ENSMUSG00000041235,ENSMUSG00000041966,ENSMUSG00000044533,ENSMUSG00000047675,ENSMUSG00000052707,ENSMUSG00000054387,ENSMUSG00000058317,ENSMUSG00000060036,ENSMUSG00000062627,ENSMUSG00000062825,ENSMUSG00000066415	Dnajc5,Ssr4,Hmox2,Psmd4,Apc,Aplp1,Qrich1,Ankrd28,Mtrex,Lamp2,Crk,Smurf2,Snx3,Serinc1,Asb3,Rab10,Mink1,Klc1,Zmym2,Trim35,Itm2b,Dad1,Usp7,Dnm1l,Gsk3b,Bsg,Scg5,Csnk1a1,Nedd4l,Pacs1,Vti1a,Huwe1,Smad7,Itm2c,Serpine2,Rab14,Pcsk2,Xrn2,Sec62,Tmem59,AU040320,Rheb,Gnb1,Gnb2,Zranb1,Stim1,Tecr,Aplp2,Nedd4,Anp32a,Nktr,Trf,Atp2c1,Atp1a1,Eri3,Znrf1,Nsf,Zyg11b,Fbxw2,Serbp1,Larp1,Atp11b,Mapkap1,Smurf1,Zmynd8,Fbxl5,Wwp1,Chd7,Dcaf17,Rps2,Rps8,Tnrc6a,Mdm4,Ube2e2,Rpl3,Mysm1,Actg1,Msl2
M0.C31 Down	Immune_Response	0.994029244205852	0.623875627766953	0.0111067036890123	28	2521	1	0.00260083852984728	0	ENSMUSG00000000826,ENSMUSG00000004070,ENSMUSG00000004207,ENSMUSG00000005533,ENSMUSG00000005625,ENSMUSG00000016534,ENSMUSG00000017776,ENSMUSG00000018363,ENSMUSG00000020170,ENSMUSG00000020671,ENSMUSG00000021180,ENSMUSG00000021288,ENSMUSG00000021820,ENSMUSG00000022043,ENSMUSG00000022064,ENSMUSG00000023175,ENSMUSG00000025261,ENSMUSG00000025809,ENSMUSG00000025880,ENSMUSG00000026878,ENSMUSG00000029328,ENSMUSG00000032554,ENSMUSG00000033940,ENSMUSG00000036918,ENSMUSG00000050708,ENSMUSG00000057897,ENSMUSG00000062627,ENSMUSG00000062825	Dnajc5,Hmox2,Psap,Igf1r,Psmd4,Lamp2,Crk,Smurf2,Frs2,Rab10,Rps6ka5,Klc1,Camk2g,Trim35,Pibf1,Bsg,Huwe1,Itgb1,Smad7,Rab14,Hnrnpdl,Trf,Brk1,Ttc7,Ftl1,Camk2b,Mysm1,Actg1
M0.C31 Down	Autophagy	0.0746789095156008	1.45298897517232	0.0202117420596728	21	1039	0.512546155578202	1.12680203237822	0.29026701961787	ENSMUSG00000000628,ENSMUSG00000004207,ENSMUSG00000006273,ENSMUSG00000016534,ENSMUSG00000017776,ENSMUSG00000019804,ENSMUSG00000020671,ENSMUSG00000022789,ENSMUSG00000022812,ENSMUSG00000024983,ENSMUSG00000025261,ENSMUSG00000025809,ENSMUSG00000026878,ENSMUSG00000028945,ENSMUSG00000032216,ENSMUSG00000033940,ENSMUSG00000035953,ENSMUSG00000037331,ENSMUSG00000038332,ENSMUSG00000038780,ENSMUSG00000062825	Hk2,Psap,Atp6v1b2,Lamp2,Crk,Snx3,Rab10,Dnm1l,Gsk3b,Vti1a,Huwe1,Itgb1,Rab14,Rheb,Nedd4,Brk1,Pip4p1,Larp1,Sesn1,Smurf1,Actg1
M0.C31 Down	Mitochondrial_Metabolism	0.999329994900356	0.461025329556398	0.00788288288288288	14	1776	1	0.000291077040065368	0	ENSMUSG00000000628,ENSMUSG00000000826,ENSMUSG00000018965,ENSMUSG00000021771,ENSMUSG00000022789,ENSMUSG00000022812,ENSMUSG00000023175,ENSMUSG00000024082,ENSMUSG00000024431,ENSMUSG00000025261,ENSMUSG00000026103,ENSMUSG00000038780,ENSMUSG00000046442,ENSMUSG00000075706	Hk2,Dnajc5,Ywhah,Vdac2,Dnm1l,Gsk3b,Bsg,Ndufaf7,Nr3c1,Huwe1,Gls,Smurf1,Ppm1e,Gpx4
M0.C31 Down	Structural_Stabilization	0.995508643511214	0.669551628547037	0.0127691537305959	51	3994	1	0.00195496485512684	0	ENSMUSG00000001036,ENSMUSG00000004207,ENSMUSG00000005871,ENSMUSG00000006651,ENSMUSG00000017421,ENSMUSG00000017776,ENSMUSG00000019820,ENSMUSG00000020170,ENSMUSG00000020611,ENSMUSG00000020671,ENSMUSG00000020827,ENSMUSG00000021288,ENSMUSG00000022064,ENSMUSG00000022789,ENSMUSG00000022812,ENSMUSG00000023175,ENSMUSG00000024287,ENSMUSG00000024431,ENSMUSG00000024462,ENSMUSG00000024576,ENSMUSG00000025060,ENSMUSG00000025809,ENSMUSG00000025880,ENSMUSG00000026249,ENSMUSG00000028906,ENSMUSG00000029713,ENSMUSG00000030302,ENSMUSG00000030967,ENSMUSG00000030987,ENSMUSG00000031393,ENSMUSG00000032216,ENSMUSG00000032554,ENSMUSG00000032570,ENSMUSG00000033940,ENSMUSG00000034101,ENSMUSG00000036095,ENSMUSG00000036371,ENSMUSG00000036452,ENSMUSG00000037331,ENSMUSG00000038696,ENSMUSG00000044533,ENSMUSG00000046442,ENSMUSG00000046876,ENSMUSG00000047675,ENSMUSG00000051166,ENSMUSG00000052062,ENSMUSG00000057897,ENSMUSG00000060036,ENSMUSG00000062825,ENSMUSG00000072235,ENSMUSG00000073557	Epn2,Psap,Apc,Aplp1,Zfp207,Crk,Utrn,Frs2,Gna13,Rab10,Mink1,Klc1,Pibf1,Dnm1l,Gsk3b,Bsg,Thoc1,Nr3c1,Gabbr1,Csnk1a1,Slk,Itgb1,Smad7,Serpine2,Epb41,Gnb2,Atp2b2,Zranb1,Stim1,Mecp2,Nedd4,Trf,Atp2c1,Brk1,Ctnnd1,Dgkb,Serbp1,Arhgap26,Larp1,Mapkap1,Rps2,Ppm1e,Atxn1,Rps8,Eml5,Pard3b,Camk2b,Rpl3,Actg1,Tuba1a,Ppp1r12b
M0.C31 Down	Endolysosome	0.256354350525015	1.15500451984122	0.0179271708683473	32	1785	0.799751839250725	0.591159307858944	0.0970447524623332	ENSMUSG00000000826,ENSMUSG00000001036,ENSMUSG00000004207,ENSMUSG00000006273,ENSMUSG00000006651,ENSMUSG00000016534,ENSMUSG00000019804,ENSMUSG00000020070,ENSMUSG00000020671,ENSMUSG00000022108,ENSMUSG00000022789,ENSMUSG00000023175,ENSMUSG00000024589,ENSMUSG00000024983,ENSMUSG00000025809,ENSMUSG00000026223,ENSMUSG00000026878,ENSMUSG00000028945,ENSMUSG00000029064,ENSMUSG00000029617,ENSMUSG00000029713,ENSMUSG00000032216,ENSMUSG00000032554,ENSMUSG00000033161,ENSMUSG00000033545,ENSMUSG00000034187,ENSMUSG00000035953,ENSMUSG00000036333,ENSMUSG00000037400,ENSMUSG00000050708,ENSMUSG00000062825,ENSMUSG00000072235	Dnajc5,Epn2,Psap,Atp6v1b2,Aplp1,Lamp2,Snx3,Rufy2,Rab10,Itm2b,Dnm1l,Bsg,Nedd4l,Vti1a,Itgb1,Itm2c,Rab14,Rheb,Gnb1,Ccz1,Gnb2,Nedd4,Trf,Atp1a1,Znrf1,Nsf,Pip4p1,Kidins220,Atp11b,Ftl1,Actg1,Tuba1a
M0.C31 Down	Apoptosis	0.19273335625578	1.20910006529673	0.0185074626865672	31	1675	0.770933425023119	0.715043115732872	0.112983124404909	ENSMUSG00000000628,ENSMUSG00000000826,ENSMUSG00000005533,ENSMUSG00000005871,ENSMUSG00000006651,ENSMUSG00000006673,ENSMUSG00000018965,ENSMUSG00000020170,ENSMUSG00000020611,ENSMUSG00000020647,ENSMUSG00000021771,ENSMUSG00000022043,ENSMUSG00000022174,ENSMUSG00000022789,ENSMUSG00000022812,ENSMUSG00000024287,ENSMUSG00000024431,ENSMUSG00000025060,ENSMUSG00000025809,ENSMUSG00000025986,ENSMUSG00000026223,ENSMUSG00000027340,ENSMUSG00000029062,ENSMUSG00000029821,ENSMUSG00000031393,ENSMUSG00000032212,ENSMUSG00000032249,ENSMUSG00000036371,ENSMUSG00000038481,ENSMUSG00000053754,ENSMUSG00000054387	Hk2,Dnajc5,Igf1r,Apc,Aplp1,Qrich1,Ywhah,Frs2,Gna13,Ncoa1,Vdac2,Trim35,Dad1,Dnm1l,Gsk3b,Thoc1,Nr3c1,Slk,Itgb1,Slc39a10,Itm2c,Slc23a2,Cdk11b,Gsdme,Mecp2,Sltm,Anp32a,Serbp1,Cdk19,Chd8,Mdm4
M0.C31 Down	Oxidative_Stress	0.511386933736067	1.03729636817427	0.0125588697017268	8	637	1	0.2912503726703	0	ENSMUSG00000000628,ENSMUSG00000004070,ENSMUSG00000017776,ENSMUSG00000027340,ENSMUSG00000038332,ENSMUSG00000038696,ENSMUSG00000055917,ENSMUSG00000075706	Hk2,Hmox2,Crk,Slc23a2,Sesn1,Mapkap1,Zfp277,Gpx4
M0.C31 Down	Vasculature	0.199970861575814	1.24266995732808	0.0181069958847737	22	1215	0.788926138819648	0.699033282229854	0.102963654591079	ENSMUSG00000000628,ENSMUSG00000001036,ENSMUSG00000007817,ENSMUSG00000017776,ENSMUSG00000020611,ENSMUSG00000020865,ENSMUSG00000021779,ENSMUSG00000022789,ENSMUSG00000023175,ENSMUSG00000024589,ENSMUSG00000025809,ENSMUSG00000025880,ENSMUSG00000030302,ENSMUSG00000030987,ENSMUSG00000031393,ENSMUSG00000032216,ENSMUSG00000033161,ENSMUSG00000033940,ENSMUSG00000040118,ENSMUSG00000041235,ENSMUSG00000060961,ENSMUSG00000062825	Hk2,Epn2,Zmiz1,Crk,Gna13,Abcc3,Thrb,Dnm1l,Bsg,Nedd4l,Itgb1,Smad7,Atp2b2,Stim1,Mecp2,Nedd4,Atp1a1,Brk1,Cacna2d1,Chd7,Slc4a4,Actg1
